시군구명칭,총거주자수,세대수,세대당인구,남자인구수,여자인구수,남여비율,고령인구수,고령인구비율,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세이상
종로구,135791.0,71209.0,1.91,65063.0,70728.0,0.92,40881,0.3010582439189637,5147,9236,20293,19698,18058,22478,20566,12287,6830,1166,32
중구,116927.0,63064.0,1.85,56082.0,60845.0,0.92,35620,0.3046345155524387,4999,5788,15839,21102,15962,17617,17643,11223,5761,975,18
용산구,199437.0,101046.0,1.97,94965.0,104472.0,0.91,53653,0.2690222977682175,9888,12541,26638,36973,28522,31222,27707,15808,8562,1529,47
성동구,272345.0,131667.0,2.07,131490.0,140855.0,0.93,72266,0.2653472617452129,15629,17206,38073,47622,39215,42334,37942,21921,10840,1531,32
광진구,329457.0,169520.0,1.94,157621.0,171836.0,0.92,85021,0.2580640265649235,13562,22853,55339,56435,45607,50640,45394,26094,11752,1744,37
동대문구,342157.0,174256.0,1.96,166780.0,175377.0,0.95,95785,0.27994458684171303,17306,22659,55142,52612,47095,51558,48071,30646,15002,2011,55
중랑구,375206.0,187571.0,2.0,183154.0,192052.0,0.95,119733,0.3191127007563845,16780,23077,45174,58305,50650,61487,63691,37437,16324,2225,56
성북구,421029.0,197352.0,2.13,201153.0,219876.0,0.91,116094,0.2757387258359875,21617,33920,62895,56661,59644,70198,58180,36617,18565,2668,64
강북구,277544.0,140794.0,1.97,133409.0,144135.0,0.93,97134,0.3499769405932032,9682,17899,34511,34089,36121,48108,47186,31860,16112,1939,37
도봉구,298776.0,137831.0,2.17,144162.0,154614.0,0.93,103570,0.3466476557688703,11961,21229,33660,37077,39464,51815,52766,32672,15813,2249,70
노원구,483044.0,215709.0,2.24,231145.0,251899.0,0.92,140391,0.2906381199228228,23118,44402,61702,60758,68917,83756,72087,44196,20665,3352,91
은평구,453875.0,212883.0,2.13,214600.0,239275.0,0.9,135820,0.299245386945745,20636,33697,56491,66414,64699,76118,68406,43326,21158,2871,59
서대문구,298454.0,144710.0,2.06,141064.0,157390.0,0.9,82499,0.27642115702922393,15328,21674,45253,44600,41916,47184,41257,25267,13876,2046,53
마포구,355484.0,178382.0,1.99,164986.0,190498.0,0.87,82946,0.23333258318236544,18361,25712,55046,64252,54104,55063,42129,25061,13608,2106,42
양천구,423878.0,178221.0,2.38,206231.0,217647.0,0.95,115008,0.2713233524740609,22775,46228,47271,51721,69110,71765,61877,36954,13965,2148,64
강서구,547103.0,271142.0,2.02,261319.0,285784.0,0.91,150120,0.274390745435503,26902,40069,72139,95704,81442,80727,78484,49073,19350,3125,88
구로구,383061.0,183121.0,2.09,187219.0,195842.0,0.96,114085,0.2978246284534317,19737,27133,46393,61074,54832,59807,57771,38209,15967,2096,42
금천구,222349.0,120559.0,1.84,111535.0,110814.0,1.01,68166,0.30657210061659823,8435,12040,32031,39264,27460,34953,36746,21126,9089,1178,27
영등포구,369028.0,190457.0,1.94,180023.0,189005.0,0.95,95153,0.25784764299727936,19869,22281,53188,73565,51720,53252,48412,30272,14285,2133,51
동작구,370618.0,185517.0,2.0,178785.0,191833.0,0.93,99904,0.2695605718016934,17507,25006,60311,61118,50949,55823,49603,32596,15449,2203,53
관악구,474982.0,286091.0,1.66,238765.0,236217.0,1.01,121235,0.2552412512474157,14024,23735,101747,92902,57458,63881,59550,40647,18807,2190,41
서초구,409057.0,170526.0,2.4,194302.0,214755.0,0.9,95091,0.23246393534397405,26333,45273,48012,57163,70376,66809,47713,31821,13392,2108,57
강남구,549334.0,240425.0,2.28,262391.0,286943.0,0.91,124704,0.22700943324097908,32017,63995,63327,79940,98637,86714,62291,42884,16821,2628,80
송파구,640819.0,283767.0,2.26,306837.0,333982.0,0.92,161470,0.25197442647611884,39529,56717,76975,105509,103088,97531,86947,52395,18928,3120,80
강동구,496521.0,220462.0,2.25,241916.0,254605.0,0.95,132455,0.2667661589338618,32254,43469,55993,77150,80619,74581,71738,43123,15135,2392,67
